2026-04-16 13:15:34 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/special_tokens_map.json "HTTP/1.1 200 OK"
2026-04-16 13:15:35 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/chat_template.jinja "HTTP/1.1 404 Not Found"
2026-04-16 13:15:35 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 13:15:35 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 13:15:36 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/model.safetensors "HTTP/1.1 302 Found"
2026-04-16 13:15:36 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/xet-read-token/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318 "HTTP/1.1 200 OK"
2026-04-16 13:16:30 | INFO     | inference | Inference on CPU.
2026-04-16 13:50:20 | WARNING  | train | No GPU detected — training on CPU.  Consider reducing BATCH_SIZE and NUM_EPOCHS in config.py.
2026-04-16 13:50:20 | INFO     | train | ======================================================================
2026-04-16 13:50:20 | INFO     | train | ESG Report Authenticity Scorer — Training Pipeline
2026-04-16 13:50:20 | INFO     | train | Base model : climatebert/distilroberta-base-climate-f
2026-04-16 13:50:20 | INFO     | train | Device     : cpu
2026-04-16 13:50:20 | INFO     | train | ======================================================================
2026-04-16 13:50:20 | INFO     | train | Loaded 300 gold-labelled rows.
2026-04-16 13:50:21 | INFO     | train | Loaded 4957 auto-labelled rows.
2026-04-16 13:50:21 | INFO     | train | Final merged dataset: 5050 rows.
2026-04-16 13:50:21 | INFO     | train | Split: 4292 train  |  758 validation  (stratified by label).
2026-04-16 13:50:21 | INFO     | train | Loading tokenizer from 'climatebert/distilroberta-base-climate-f' …
2026-04-16 13:50:22 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 13:50:22 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 13:50:22 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 13:50:22 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/tokenizer_config.json "HTTP/1.1 200 OK"
2026-04-16 13:50:22 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-04-16 13:50:23 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-04-16 13:50:26 | INFO     | train | Tokenisation complete.  Max seq length = 256.
2026-04-16 13:50:26 | INFO     | train | Auto-computed class weights (balanced): SPECIFIC(0)=1.2138  VAGUE(1)=0.8502
2026-04-16 13:50:26 | INFO     | train | Loading model from 'climatebert/distilroberta-base-climate-f' …
2026-04-16 13:50:26 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
